Sender ID,Operator/Gateway,Description,State,Date
CafeWorld,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CAFODAT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CAI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Cambridge,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CANKAVRE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CANLumbini,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CANN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CANVAS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CAPITAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CAREER,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CareHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CARIBBEAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CaspianColz,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Caspion,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCICHITWAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCMA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCTAccount,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCTAdmin,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CCTChairman,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CedepName,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CHANAKYA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CHANDRAMA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ChandraSury,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ChangeNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CHITCOL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CIMA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
cit,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CITYCENTRE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CityMax,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ClassicOvrs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CMC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
COLUMBUS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ComputrHome,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
congress,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Connection,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
corona,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
cosmic,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CPNUML,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
cpnuml,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
cpnuml1,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CpnUmlUac,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CRDTCHITWAN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CRESCENT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CrimsonHosp,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CromaIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Crown,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CRYSTAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CRYSTALColz,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CSEGORKHA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
CSKlanguage,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
dahalcom,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DamakMUN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Darpansacco,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DBBS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DBSACCOS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DCH,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DCSDRKhanal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DCTManoj,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DCU,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DDCchitwan,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DEBHSchool,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DEGGA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DEMOCRATES,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DEVENDRASHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DEVIDALAKOT,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DewanIthari,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DGMadhukar,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DGSHAMBHU,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DhanaRaj,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Dhanmilan,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
dharanhouse,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DHKUH,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DiamondHSS,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DiamondOvs,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DIBYASHWARI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DilipSuwal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DipikaThap,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DipJangShah,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Dist325A1,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Dist325A2,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Dist325B1,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DIYALO,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DkDhungana,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DKTHAPALIYA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DLC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DOLPHIN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DotComHouse,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Dproton,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DunlopNepal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
DynamicGHR,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EastWest,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EasySoft,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
educationpar,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EduGlobal,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EDUPALNEPAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EEMC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EICOLLEGE,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EINSTEIN,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EkataSaccos,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ElanIntl,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ElimKids,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
Emerald,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EonMedical,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ePRIMA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
ETSTOEIC,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EUROAMERICA,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EuroKids,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EVENEPAL,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
EVEREST,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
FCI,Default [ AXIATA ],Approved,None,2016-04-06 16:04:41
